title,authors,publication_year,doi,source,abstract
A New Layer Structure of Cyber-Physical Systems under the Era of Digital Twin,"Cheng Qian, Yifan Guo, Adamu Hussaini, Abubakar Musa, Akshita Sai, Wei Yu",2024,10.1145/3674974,https://dl.acm.org/,"Cyber-Physical Systems (CPS) are new systems designed to support and synthesize sensing, communication, and computing components that interact with physical objects so that the system can sense, monitor, control, and respond to changes occurring in their operating environments. With developing Internet of Things (IoT), edge/cloud computing, and Artificial Intelligence (AI), another new paradigm - Digital Twin (DT), as an enabler for realizing the Metaverse of CPS has emerged recently. The DT provides a virtual replica of the physical world, allowing for real-time monitoring, control, and analysis of safety-critical systems like the CPS. Even though many CPS-related problems can be addressed using DT concepts, it is critical to define DT’s integration clearly to leverage its features to the best possible extent. This paper introduces a new layer called the data layer in the CPS layer architecture to support different DT functionalities. Like the layer and abstract design paradigm of modern operation systems and computer networks, the data layer serves as an abstraction layer, providing immense flexibility and interchangeability of various data sources, supporting applications, and adapting to other components and environments. This also accelerates the growth of smart-world systems and their integration in different application domains (smart grid, smart transportation, smart manufacturing, smart cities, smart healthcare, etc.). To this end, this paper presents a new data layer structure to support CPS applications and the integration of multiple CPS. We propose a hierarchical architecture to synthesize DT techniques as an independent layer in our architecture, deeply integrated into existing CPS. We discuss key issues: leveraging the data layer to support applications in various CPS, incorporating the data layer and physical layer, and building a data layer using distributed computing, naming services, etc. Finally, the paper outlines future research directions based on the presented new data layer architecture for CPS."
Digital Twin-based Anomaly Detection with Curriculum Learning in Cyber-physical Systems,"Qinghua Xu, Shaukat Ali, Tao Yue",2023,10.1145/3582571,https://dl.acm.org/,"Anomaly detection is critical to ensure the security of
            cyber-physical systems (CPS)
            . However, due to the increasing complexity of attacks and CPS themselves, anomaly detection in CPS is becoming more and more challenging. In our previous work, we proposed a digital twin-based anomaly detection method, called ATTAIN, which takes advantage of both historical and real-time data of CPS. However, such data vary significantly in terms of difficulty. Therefore, similar to human learning processes, deep learning models (e.g., ATTAIN) can benefit from an easy-to-difficult curriculum. To this end, in this paper, we present a novel approach, named
            digitaL twin-based Anomaly deTecTion wIth Curriculum lEarning (
            
              LATTICE
            
            )
            , which extends ATTAIN by introducing curriculum learning to optimize its learning paradigm.
            LATTICE
            attributes each sample with a difficulty score, before being fed into a training scheduler. The training scheduler samples batches of training data based on these difficulty scores such that learning from easy to difficult data can be performed. To evaluate LATTICE, we use five publicly available datasets collected from five real-world CPS testbeds. We compare
            LATTICE
            with ATTAIN and two other state-of-the-art anomaly detectors. Evaluation results show that
            LATTICE
            outperforms the three baselines and ATTAIN by 0.906%-2.367% in terms of the F1 score.
            LATTICE
            also, on average, reduces the training time of ATTAIN by 4.2% on the five datasets and is on par with the baselines in terms of detection delay time."
An Investigation on Available Technologies and Approaches for Integration of Control Systems with the Digital twin in Cyber-Physical Production Systems,"Shiva Abdoli, Diwen Ye",2023,10.1145/3587889.3587909,https://dl.acm.org/,
A multilevel cybersecurity and safety monitor for embedded cyber-physical systems,"Smitha Gautham, Georgios Bakirtzis, Matthew T. Leccadito, Robert H. Klenke, Carl R. Elks",2019,10.1145/3302509.3313321,https://dl.acm.org/,
POSTER: A Cyber Physical Aquaponics System (CyPhA) Testbed,"Anand Agrawal, Praneeta Maganti, Rajib Ranjan Maiti",2023,10.1145/3576841.3589634,https://dl.acm.org/,
Monitoring Signal Temporal Logic in Distributed Cyber-physical Systems,"Anik Momtaz, Houssam Abbas, Borzoo Bonakdarpour",2023,10.1145/3576841.3585937,https://dl.acm.org/,
Proceedings of the ACM/IEEE 14th International Conference on Cyber-Physical Systems (with CPS-IoT Week 2023),No authors,2023,10.1145/3576841,https://dl.acm.org/,
"Secure, Trustworthy and Scalable Digital Manufacturing Cyber-Physical System",Nikhil Gupta,2022,10.1145/3510547.3517928,https://dl.acm.org/,
"CPSA
            <sub>ML</sub>","Andreas Fend, Dominik Bork",2022,10.1145/3550356.3563134,https://dl.acm.org/,
Testing uncertainty of cyber-physical systems in IoT cloud infrastructures: combining model-driven engineering and elastic execution,"Hong-Linh Truong, Luca Berardinelli",2017,10.1145/3107091.3107093,https://dl.acm.org/,
Session details: Session 2: IoT and Smart Manufacturing,Katsunari Yoshioka,2022,10.1145/3538481,https://dl.acm.org/,
Monitor and Recover: A Paradigm for Future Research on Distribution Shift in Learning-Enabled Cyber-Physical Systems,"Vivian Lin, Insup Lee",2025,10.1145/3716550.3725160,https://dl.acm.org/,
Detecting Stealthy False Data Injections on Cyber-Physical Systems using Temporal Distance Metrics,"Akash Bhattacharya, Suraj Singh, Sunandan Adhikary, Soumyajit Dey",2025,10.1145/3716550.3725166,https://dl.acm.org/,
A Self-Stabilizing Publish/Subscribe Middleware for IoT Applications,"Gerry Siegemund, Volker Turau",2018,10.1145/3185509,https://dl.acm.org/,"This article presents a middleware that provides a communication and data dissemination infrastructure suitable for the operation environment of the Internet of Things (IoT). The middleware realizes the channel-based publish/subscribe paradigm that has been identified as a valid means to asynchronously disseminate data in IoT applications. The novelty lies in the routing algorithm PSVR that greatly reduces the path lengths to deliver publications and its suitability for scenarios with a high subfluctuation rate. The middleware is self-stabilizing and eventually provides safety and liveness properties such as the guaranteed delivery of all published messages to all subscribers and the correct handling of subscriptions and unsubscriptions, while no error occurs. The evaluation of the middleware, based on simulations and a real deployment, shows that it has a low memory footprint and scales well with the number of nodes."
NOTHORG; A digital twin for ECU security testing,"Marek Wehmer, Jean Diestl, Dominik Waibel, Ingmar Baumgart",2025,10.1145/3736130.3764512,https://dl.acm.org/,
Digital Twin for Cybersecurity Incident Prediction,"Abhishek Pokhrel, Vikash Katta, Ricardo Colomo-Palacios",2020,10.1145/3387940.3392199,https://dl.acm.org/,
Model-driven digital twin construction,"Jörg Christian Kirchhof, Judith Michael, Bernhard Rumpe, Simon Varga, Andreas Wortmann",2020,10.1145/3365438.3410941,https://dl.acm.org/,
Soteria: A Formal Digital-Twin-Enabled Framework for Safety-Assurance of Latency-Aware Cyber-Physical Systems,"Kurt Wilson, Abdullah Al Arafat, John Baugh, Ruozhou Yu, Xue Liu, Zhishan Guo",2025,10.1145/3716863.3718028,https://dl.acm.org/,
Dynamic Simplex: Balancing Safety and Performance in Autonomous Cyber Physical Systems,"Baiting Luo, Shreyas Ramakrishna, Ava Pettet, Christopher Kuhn, Gabor Karsai, Ayan Mukhopadhyay",2023,10.1145/3576841.3585934,https://dl.acm.org/,
A Comprehensive Review on the Applications of Artificial Intelligence in Cybersecurity,Qinghao Zeng,2025,10.1145/3729706.3729732,https://dl.acm.org/,
Adaptive CUSUM-Based Residue Analysis for Stealthy Attack Detection in Cyber-Physical Systems,"Akash Bhattacharya, Sunandan Adhikary, Ipsita Koley, Anirban Majumder, Soumyajit Dey",2023,10.1145/3576841.3589631,https://dl.acm.org/,
Study Cybersecurity of Cyber Physical System in the Virtual Environment: A Survey and New Direction,"Lei Shi, Shanti Krishnan, Sheng Wen",2022,10.1145/3511616.3513098,https://dl.acm.org/,
Perception-based Quantitative Runtime Verification for Learning-enabled Cyber-Physical Systems,"Ryan Brown, Luan Viet Nguyen, Weiming Xiang, Marilyn Wolf, Hoang-Dung Tran",2025,10.1145/3716550.3722031,https://dl.acm.org/,
Videos to accompany the paper “A Compiler for Cyber-Physical Digital Microfluidic Biochips”,"Christopher Curtis, Daniel Grissom, Philip Brisk",2018,10.1145/3190497,https://dl.acm.org/,
Data Security &amp; Privacy Protection in IoT MGC Systems,Robert Deng,2023,10.1145/3592538.3607805,https://dl.acm.org/,
MicroInfer,"Ziye Liu, Chen Chen, Keji Deng, Lei Liu, Ci He, Ming Xiao",2022,10.1145/3566099.3569004,https://dl.acm.org/,
A Dependable Time Series Analytic Framework for Cyber-Physical Systems of IoT-based Smart Grid,"Chang Wang, Yongxin Zhu, Weiwei Shi, Victor Chang, P. Vijayakumar, Bin Liu, Yishu Mao, Jiabao Wang, Yiping Fan",2019,10.1145/3145623,https://dl.acm.org/,"With the emergence of cyber-physical systems (CPS), we are now at the brink of next computing revolution. The Smart Grid (SG) built on top of IoT (Internet of Things) is one of the foundations of this CPS revolution, which involves a large number of smart objects connected by networks. The volume of time series of SG equipment is tremendous and the raw time series are very likely to contain missing values because of undependable network transferring. The problem of storing a tremendous volume of raw time series thereby providing a solid support for precise time series analytics now becomes tricky. In this article, we propose a dependable time series analytics (DTSA) framework for IoT-based SG. Our proposed DTSA framework is capable of providing a dependable data transforming from CPS to the target database with an extraction engine to preliminary refining raw data and further cleansing the data with a correction engine built on top of a sensor-network-regularization-based matrix factorization method. The experimental results reveal that our proposed DTSA framework is capable of effectively increasing the dependability of raw time series transforming between CPS and the target database system through the online lightweight extraction engine and the offline correction engine. Our proposed DTSA framework would be useful for other industrial big data practices."
From IoT to Ephemeral Computing,Julie A. McCann,2017,10.1145/3102304.3102306,https://dl.acm.org/,
Exploiting Digital Twin technology for Cybersecurity Monitoring in Smart Grids,"Luigi Coppolino, Roberto Nardone, Alfredo Petruolo, Luigi Romano, Andrej Souvent",2023,10.1145/3600160.3605043,https://dl.acm.org/,
Pishgu: Universal Path Prediction Network Architecture for Real-time Cyber-physical Edge Systems,"Ghazal Alinezhad Noghre, Vinit Katariya, Armin Danesh Pazho, Christopher Neff, Hamed Tabkhi",2023,10.1145/3576841.3585933,https://dl.acm.org/,
Towards a digital twin for cyber-physical production systems,"Asmaa Niati, Cyrine Selma, Dalila Tamzalit, Hugo Bruneliere, Nasser Mebarki, Olivier Cardin",2020,10.1145/3417990.3421438,https://dl.acm.org/,
VIoLET,"Shrey Baheti, Shreyas Badiger, Yogesh Simmhan",2021,10.1145/3446346,https://dl.acm.org/,"Internet of Things (IoT) deployments have been growing manifold, encompassing sensors, networks, edge, fog, and cloud resources. Despite the intense interest from researchers and practitioners, most do not have access to large-scale IoT testbeds for validation. Simulation environments that allow analytical modeling are a poor substitute for evaluating software platforms or application workloads in realistic computing environments. Here, we propose a virtual environment for validating Internet of Things at large scales (VIoLET), an
            emulator
            for defining and launching large-scale IoT deployments within cloud VMs. It allows users to declaratively specify container-based compute resources that match the performance of native IoT compute devices using Docker. These can be inter-connected by complex topologies on which bandwidth and latency rules are enforced. Users can configure synthetic sensors for data generation as well. We also incorporate models for CPU resource dynamism, and for failure and recovery of the underlying devices. We offer a detailed comparison of VIoLET’s compute and network performance between the virtual and physical deployments, evaluate its scaling with deployments with up to 1, 000 devices and 4, 000 device-cores, and validate its ability to model resource dynamism. Our extensive experiments show that the performance of the virtual IoT environment
            accurately
            matches the expected behavior, with deviations levels within what is seen in actual physical devices. It also
            scales
            to 1, 000s of devices and at a modest cloud computing costs of under 0.15% of the actual hardware cost, per hour of use, with minimal management effort. This IoT emulation environment fills an essential gap between IoT simulators and real deployments."
A Cyber-Twin Based Honeypot for Gathering Threat Intelligence of Critical Infrastructure,"Muhammad Azmi Umer, Xuna Zhan, Yan Lin Aung, Aditya P. Mathur, Jianying Zhou",2026,10.1145/3806008.3811698,https://dl.acm.org/,
Fighting IoT Cyberattacks,Katsunari Yoshioka,2022,10.1145/3494107.3522781,https://dl.acm.org/,
Optimization techniques for time-critical cyber-physical systems,"Yecheng Zhao, Haibo Zeng",2019,10.1145/3313151.3313168,https://dl.acm.org/,
Application of Nuclear magnetic resonance Ultra-short-term load forecasting model based on digital twin,Yingdong Huo,2022,10.1145/3558819.3565178,https://dl.acm.org/,
Keynote: Efficient Security and Privacy Protocols for IoT Networks and Applications,Robert Deng,2025,10.1145/3709017.3747225,https://dl.acm.org/,
FACSAT: Conception as a cyber-physical system for satellite observation of the Earth: Automated mission planning and scheduling,"Javier E. Méndez G., Albert M. K. Cheng, Santiago Muñoz",2023,10.1145/3576841.3589616,https://dl.acm.org/,
Demonstration of Pishgu: Universal Path Prediction Network Architecture for Real-time Cyber-physical Edge Systems,"Ghazal Alinezhad Noghre, Vinit Katariya, Armin Danesh Pazho, Christopher Neff, Hamed Tabkhi",2023,10.1145/3576841.3589619,https://dl.acm.org/,
IoT-Enabled Digital Twin for Whole-Lifecycle Management in Architectural Decoration Engineering,Shenghuan Jiang,2025,10.1145/3800000.3800026,https://dl.acm.org/,
Atlas: Ensuring Accuracy for Privacy-Preserving Federated IoT Applications,"Jiechao Gao, Mingyue Tang, Wenpeng Wang, Tushar Routh, Bradford Campbell",2025,10.1145/3716550.3722017,https://dl.acm.org/,
CODiT: Conformal Out-of-Distribution Detection in Time-Series Data for Cyber-Physical Systems,"Ramneet Kaur, Kaustubh Sridhar, Sangdon Park, Yahan Yang, Susmit Jha, Anirban Roy, Oleg Sokolsky, Insup Lee",2023,10.1145/3576841.3585931,https://dl.acm.org/,
Cybersecurity of Industrial Cyber-Physical Systems: A Review,"Hakan Kayan, Matthew Nunes, Omer Rana, Pete Burnap, Charith Perera",2022,10.1145/3510410,https://dl.acm.org/,"Industrial cyber-physical systems
            (
            ICPSs
            ) manage critical infrastructures by controlling the processes based on the “physics” data gathered by edge sensor networks. Recent innovations in ubiquitous computing and communication technologies have prompted the rapid integration of highly interconnected systems to ICPSs. Hence, the “security by obscurity” principle provided by air-gapping is no longer followed. As the interconnectivity in ICPSs increases, so does the attack surface. Industrial vulnerability assessment reports have shown that a variety of new vulnerabilities have occurred due to this transition. Although there are existing surveys in this context, very little is mentioned regarding the outputs of these reports. While these reports show that the most exploited vulnerabilities occur due to weak boundary protection, these vulnerabilities also occur due to limited or ill-defined security policies. However, current literature focuses on
            intrusion detection systems
            (
            IDSs
            ),
            network traffic analysis
            (
            NTA
            ) methods, or anomaly detection techniques. Hence, finding a solution for the problems mentioned in these reports is relatively hard. We bridge this gap by defining and reviewing ICPSs from a cybersecurity perspective. In particular, multi-dimensional adaptive attack taxonomy is presented and utilized for evaluating real-life ICPS cyber incidents. Finally, we identify the general shortcomings and highlight the points that cause a gap in existing literature while defining future research directions."
Finding Unknown Unknowns using Cyber-Physical System Simulators,"Semaan Douglas Wehbe, Stanley Bak",2025,10.1145/3722573.3727829,https://dl.acm.org/,
Intrusion Detection of IoT Traffic Payload Based on Parallel Neural Networks,Yuhang Zhang,2024,10.1145/3672919.3672923,https://dl.acm.org/,
Research Status and Progress of Digital Twin Models for Electric Power System Equipment,"Ning Xu, Lina Hu, Xiaomeng Di, Yi Tang, Liang Dong, Ximin Sun",2025,10.1145/3729706.3729778,https://dl.acm.org/,
Distributed Trade-Based Edge Device Management in Multi-Gateway IoT,"Farzad Samie, Vasileios Tsoutsouras, Lars Bauer, Sotirios Xydis, Dimitrios Soudris, Jörg Henkel",2018,10.1145/3134842,https://dl.acm.org/,"The Internet-of-Things (IoT) envisions an infrastructure of ubiquitous networked smart devices offering advanced monitoring and control services. The current art in IoT architectures utilizes gateways to enable application-specific connectivity to IoT devices. In typical configurations, IoT gateways are shared among several IoT edge devices. Given the limited available bandwidth and processing capabilities of an IoT gateway, the service quality (SQ) of connected IoT edge devices must be adjusted over time not only to fulfill the needs of individual IoT device users but also to tolerate the SQ needs of the other IoT edge devices sharing the same gateway. However, having multiple gateways introduces an interdependent problem, the binding, i.e., which IoT device shall connect to which gateway.
          In this article, we jointly address the binding and allocation problems of IoT edge devices in a multigateway system under the constraints of available bandwidth, processing power, and battery lifetime. We propose a distributed trade-based mechanism in which after an initial setup, gateways negotiate and trade the IoT edge devices to increase the overall SQ. We evaluate the efficiency of the proposed approach with a case study and through extensive experimentation over different IoT system configurations regarding the number and type of the employed IoT edge devices. Experiments show that our solution improves the overall SQ by up to 56% compared to an unsupervised system. Our solution also achieves up to 24.6% improvement on overall SQ compared to the state-of-the-art SQ management scheme, while they both meet the battery lifetime constraints of the IoT devices."
SoftGrid,"Prageeth Gunathilaka, Daisuke Mashima, Binbin Chen",2016,10.1145/2994487.2994494,https://dl.acm.org/,
Cyber-physical innovations:,"Michael Ahn, Chenyu Huang, Pei-Chi Huang, Xin Zhong, Johannes Himmelreich, Kevin Desouza, Richard Knepper",2021,10.1145/3463677.3463721,https://dl.acm.org/,
Transformer-driven multi-agent deep reinforcement learning based point cloud video transmissions,"Hai Lin, Xianfu Chen",2022,10.1145/3566099.3569006,https://dl.acm.org/,
Digital Transformation and emerging ICS/OT cyber attacks - Imminent Threats to Our Society,"Sanjay Chhillar, Dale Geach",2021,10.1145/3462633.3484690,https://dl.acm.org/,
Safety Monitoring for Learning-Enabled Cyber-Physical Systems in Out-of-Distribution Scenarios,"Vivian Lin, Ramneet Kaur, Yahan Yang, Souradeep Dutta, Yiannis Kantaros, Anirban Roy, Susmit Jha, Oleg Sokolsky, Insup Lee",2025,10.1145/3716550.3722022,https://dl.acm.org/,
The concept of preventive cybersecurity management of the IoT device market in the digital economy,"Irina Avdeeva, Tatyana Golovina, Galina Guzhina, Evgeniy Sulima, Dmitry Suhanov, Evgeniy Tihanov",2021,10.1145/3487757.3490859,https://dl.acm.org/,
A Flexible Security Analytics Service for the Industrial IoT,"Philip Empl, Günther Pernul",2021,10.1145/3445969.3450427,https://dl.acm.org/,
City Services Management Methodology Based on Socio-Cyber-Physical Approach,Serge Volkov,2019,10.1145/3377170.3377261,https://dl.acm.org/,
"Secure Robotics: Navigating Challenges at the Nexus of Safety, Trust, and Cybersecurity in Cyber-Physical Systems","Adam Haskard, Damith Herath",2025,10.1145/3723050,https://dl.acm.org/,"The growing pervasiveness of robotic and embodied artificial intelligence systems in daily life and within cyber-physical environments highlights a complex web of challenges at the intersection of robotic safety, human-to-robot trust, and cybersecurity. This article explores these challenges by emphasising the crucial role of security in establishing and maintaining trust between humans and robots, which is integral to successfully adopting and operating these systems in human environments. Safety considerations include mitigating the risks of physical harm and environmental damage due to robotic malfunctions or cyberattacks, particularly in autonomous robots requiring high built-in safety measures. From a cybersecurity perspective, these systems face unique challenges due to their complex, interconnected software and hardware components that necessitate robust protection against data breaches to ensure secure data communication. Additionally, the dynamic interaction of these systems with the physical environment adds a layer of complexity, which makes the safety, security, and reliability of these interactions a vital component of the overall security strategy. This article reviews these areas within the cyber-physical systems paradigm by focusing on engineering fail-safe mechanisms, the importance of trust and ethical responsibility in human-robot interactions, and the need for resilient cybersecurity measures. At this nexus, a table of crossover challenges illustrates the intricacy of integrating safety, trust, and security in robotic systems. This article introduces “secure robotics” as a new paradigm to address these collective challenges with a novel model to provide a structured methodology for evaluating and enhancing robotic system performance that symbolises the convergence of theoretical constructs with empirical analysis. By defining secure robotics, this article establishes a framework for advancing robotics in the cyber-physical era in alignment with current technological trends while anticipating future developments. This framework positions secure robotics as a key contributor to the evolution of cyber-physical systems."
Role-Based Administration of Role-Based Smart Home IoT,"Mehrnoosh Shakarami, Ravi Sandhu",2021,10.1145/3445969.3450426,https://dl.acm.org/,
"Cyber Security for SMEs - Clear, Consistent and Complete?",Steven Furnell,2024,10.1145/3655693.3661829,https://dl.acm.org/,
Symbolic Gaussian Smoothing,"Andrew Mata, Ali ArjomandBigdeli, Stanley Bak",2025,10.1145/3716550.3725169,https://dl.acm.org/,
EvoCLINICAL: Evolving Cyber-Cyber Digital Twin with Active Transfer Learning for Automated Cancer Registry System,"Chengjie Lu, Qinghua Xu, Tao Yue, Shaukat Ali, Thomas Schwitalla, Jan F. Nygård",2023,10.1145/3611643.3613897,https://dl.acm.org/,
Building a Digital Twin Platform for Adaptive Reuse of Industrial Heritage Parks: An IoT- and Community Feedback–Integrated Decision Framework,"Mohd Jaki Bin Mamat, Songqi Gui, Yanlan Liu",2025,10.1145/3783669.3783701,https://dl.acm.org/,
"POSTER: Advancing Enterprise Cyber Defense with Digital Twin–Modelling, Simulation and Prediction","Manish Shukla, Shivam Shinde, Geetika Agarwal, Reshma Korabu, Souvik Barat",2026,10.1145/3779208.3804897,https://dl.acm.org/,
Hazard Driven Threat Modelling for Cyber Physical Systems,"Luca Maria Castiglione, Emil C. Lupu",2020,10.1145/3411498.3419967,https://dl.acm.org/,
Digital twins: Double Insecurity for Industrial Scenarios,Cristina Alcaraz,2023,10.1145/3592538.3607806,https://dl.acm.org/,
Adaptive mobile VR content delivery for industrial 5.0,"Mushu Li, Jie Gao, Conghao Zhou, Xuemin (Sherman) Shen, Weihua Zhuang",2022,10.1145/3566099.3569002,https://dl.acm.org/,
Session details: Cybersecurity in Practice,Hui (Wendy) Wang,2017,10.1145/3256010,https://dl.acm.org/,
A framework for MDE of IoT-based manufacturing cyber-physical systems,"K. Thramboulidis, P. Bochalis, J. Bouloumpasis",2017,10.1145/3131542.3131554,https://dl.acm.org/,
Attribute-based keyword search encryption scheme for IoT edge environment,"Kangjun Zhang, Lingyun Yuan, Xingwei Peng",2024,10.1145/3672919.3672939,https://dl.acm.org/,
Reliable Event Detection Using Time-Synchronized IoT Platforms,"Byeong-Gil Jun, Dongha Kim, Marten Lohstroh, Hokeun Kim",2023,10.1145/3576914.3587501,https://dl.acm.org/,
The HABAC Model for Smart Home IoT and Comparison to EGRBAC,"Safwa Ameer, Ravi Sandhu",2021,10.1145/3445969.3450428,https://dl.acm.org/,
Blockchain-Based Administration of Access in Smart Home IoT,"Mehrnoosh Shakarami, James Benson, Ravi Sandhu",2022,10.1145/3510547.3517921,https://dl.acm.org/,
Adaptive Code Relocation: Mitigating Remote Brute-Force Code Gadgets in Small IoT Devices,"Phi Tuong Lau, Stefan Katzenbeisser",2025,10.1145/3709017.3737707,https://dl.acm.org/,
Exploring Flexible Road Reconstruction in Godot Simulator,"Daniel Peralta, Xin Qin",2025,10.1145/3716550.3725164,https://dl.acm.org/,
Deriving Impact-driven Security Requirements and Monitoring Measures for Industrial IoT,"Gerhard Hansch, Peter Schneider, Gerd Stefan Brost",2019,10.1145/3327961.3329528,https://dl.acm.org/,
