Title,Authors,Year of Publication,DOI
Cybercrime Investigations in the Era of Smart Applications: Way Forward Through Big Data,"Shalaginov, Kotsiuba, Iqbal",2019,10.1109/BigData47090.2019.9006596
Visual Computing as a Key Enabling Technology for Industrie 4.0 and Industrial Internet,"Posada, Toro, Barandiaran, Oyarzun, Stricker, Amicis, Pinto, Eisert, Dollner, Vallarino",2015,10.1109/MCG.2015.45
"A Trusted, Verifiable and Differential Cyber Threat Intelligence Sharing Framework using Blockchain","Dunnett, Pal, Putra, Jadidi, Jurdak",2022,10.1109/TrustCom56396.2022.00152
Keynote Speakers,No authors,2022,10.1109/SmartIoT55134.2022.00009
A Real-Time Cosimulation Testbed for Electric Vehicle Charging and Smart Grid Security,"Sarieddine, Sayed, Jafarigiv, Atallah, Debbabi, Assi",2023,10.1109/MSEC.2023.3247374
Software Services Engineering Manifesto - A Cross-Cutting Declaration,"Chang, Ceravolo, Chang, Helal, Jin, Liu, Ming",2021,10.1109/ICWS53863.2021.00014
Towards Extreme and Sustainable Graph Processing for Urgent Societal Challenges in Europe,"Prodan, Kimovski, Bartolini, Cochez, Iosup, Kharlamov, Rožanec, Vasiliu, Vărbănescu",2022,10.1109/CloudSummit54781.2022.00010
Blockchain-Empowered Privacy-Preserving Digital Object Trading in the Metaverse,"Xiao, Xu, Zhang, Zhu, Zhang",2023,10.1109/MMUL.2023.3246528
Sensitive information protection in blockchain-based supply-chain management for aerospace,"Martintoni, Senni, Marin, Gutierrez",2022,10.1109/COINS54846.2022.9854974
A Thorough Analysis and Comparison of Data Communication Protocols Used in Industry 4.0: the Case of Smart-CNC,"Deveci, Bas, Ummak, Albayrak, Unal",2022,10.1109/FiCloud57274.2022.00034
Big Data Analytics on Cyber Attack Graphs for Prioritizing Agile Security Requirements,"Hadar, Hassanzadeh",2019,10.1109/RE.2019.00042
The Future of IT Operational Technology Supply Chains,Paulsen,2020,10.1109/MC.2019.2951979
"Research on Metaverse: Concept, development and standard system","Wang, Yan, Zhou",2021,10.1109/CECIT53797.2021.00176
A Shapley value-enhanced evaluation technique for effective aggregation in Federated Learning,"Salarbashishahri, Okegbile, Cai",2022,10.1109/FNWF55208.2022.00024
A Secure Federated Learning Mechanism for Data Privacy Protection,"Lin, Liu, Wang",2021,10.1109/IUCC-CIT-DSCI-SmartCNS55181.2021.00019
COMPSAC 2022: A Retrospective,Reisman,2022,10.1109/MITP.2022.3193046
Graphics and Media Technologies for Operators in Industry 4.0,"Posada, Zorrilla, Dominguez, Simoes, Eisert, Stricker, Rambach, Döllner, Guevara",2018,10.1109/MCG.2018.053491736
A Paradigm for Safe Adaptation of Collaborating Robots,"Cioroaica, Buhnova, Tomur",2022,10.1145/3524844.3528061
COSCO: Container Orchestration Using Co-Simulation and Gradient Based Optimization for Fog Computing Environments,"Tuli, Poojara, Srirama, Casale, Jennings",2022,10.1109/TPDS.2021.3087349
Aspern smart ICT: Data analytics and privacy challenges in a smart city,"Dhungana, Engelbrecht, Parreira, Schuster, Valerio",2015,10.1109/WF-IoT.2015.7389096
ICICOS: Industrial Cyber Intelligent Control Operating System for Cloud and Edge Computing,"Su, Kong, He",2021,10.1109/SmartIoT52359.2021.00056
Message from the Workshop Committee,No authors,2021,10.1109/EnCyCriS52570.2021.00005
Methodological Framework Based on Digital Technologies for the Implementation of Industry 4.0 in SMEs,"Velásquez, Estevez, Pesado",2019,10.1109/ICEDEG.2019.8734282
Short Survey of Artificial Intelligent Technologies for Defect Detection in Manufacturing,"Papageorgiou, Theodosiou, Margetis, Dimitriou, Charalampous, Tzovaras, Samakovlis",2021,10.1109/IISA52424.2021.9555499
Threat modeling at run time: the case for reflective and adaptive threat management (NIER track),"Landuyt, Pasquale, Sion, Joosen",2021,10.1109/SEAMS51251.2021.00034
Blockchain Security: A Survey of Techniques and Research Directions,"Leng, Zhou, Zhao, Huang, Bian",2022,10.1109/TSC.2020.3038641
Enhancing Continuous Service of Information Systems Based on Cyber Resilience,"Zuo, Guo, Gan, Lu",2021,10.1109/DSC53577.2021.00085
INGR Roadmap Artificial Intelligence And Machine Learning Chapter,"Kataria, Walid, Daneshmand, Dutta, Enright, Gu, Lackpour, Ramachandran, Wang, Chen, Chng, Darema",2022,10.1109/FNWF55208.2022.00133
Massive Twinning to Enhance Emergent Intelligence,"Yuan, Han, Krummacker, Schotten",2022,10.1109/ISCC55528.2022.9912797
Morphological Rule-Constrained Object Detection of Key Structures in Infant Fundus Image,"Zhang, Ye, Wu, Luo, Chen, Du, Wen, Song, Liu, Zhang, Wang",,10.1109/TCBB.2023.3234100
Future of the Workforce,"Arlitt, Coughlin, Faraboschi, Frachtenberg, Laplante, Milojicic, Patel, Saracco",2023,10.1109/MC.2022.3203505
System-specific risk rating of software vulnerabilities in industrial automation & control systems,"Maidl, Kröselberg, Zhao, Limmer",2021,10.1109/ISSREW53611.2021.00097
Message from the General Chairs,No authors,2022,10.1109/ACSOS55765.2022.00005
Securing Critical Infrastructure Through Innovative Use Of Merged Hierarchical Deep Neural Networks,Gupta,2021,10.1109/PST52912.2021.9647771
A Blockchain-based Framework for Information Management in Internet of Vehicles,"Wen, Guan, Li, Lyu, Li",2021,10.1109/CSCloud-EdgeCom52276.2021.00014
Special Session: Physics- Informed Neural Networks for Securing Water Distribution Systems,"Falas, Konstantinou, Michael",2020,10.1109/ICCD50377.2020.00022
Accelerating Convergence of Federated Learning in MEC With Dynamic Community,"Sun, Zhao, Ma, Guo, Xu, Duong",2024,10.1109/TMC.2023.3241770
Author Index,No authors,2022,10.1109/ISCC55528.2022.9912794
Medical Software,"Mani, Ebert",2022,10.1109/MS.2021.3119505
Enabling Cognitive Manufacturing in Heterogeneous Industrial Automation Systems,"Van, Dreiser, Silva, Weiss",2022,10.1109/ICCICC57084.2022.10101573
Multi-Modal Side Channel Data Driven Golden-Free Detection of Software and Firmware Trojans,"Krishnamurthy, Surabhi, Pearce, Karri, Khorrami",2023,10.1109/TDSC.2022.3231632
A Comparison of State-of-the-Art Machine Learning Algorithms on Fault Indication and Remaining Useful Life Determination by Telemetry Data,"Ünal, Kaleli, Ummak, Albayrak",2021,10.1109/FiCloud49777.2021.00019
Artificial Intelligence and Critical Systems: From Hype to Reality,"Laplante, Milojicic, Serebryakov, Bennett",2020,10.1109/MC.2020.3006177
Survey of Automation Practices in Model-Driven Development and Operations,"Ponsard, Ramon",2022,10.1145/3528228.3528405
iMetaverseKG: Industrial Metaverse Knowledge Graph to Promote Interoperability in Design and Engineering Applications,"Jaimini, Zhang, Brikis, Sheth",2022,10.1109/MIC.2022.3212085
IEEE ICCI*CC Series in Year 20: Latest Advances in Cognitive Computing (Plenary Panel Report-II),"Kinsner, Zhu, Baciu, Luo, Rubio, Sui, Huang, Hiraishi, Peng, Chen",2021,10.1109/ICCICC53683.2021.9811336
Cross-FCL: Toward a Cross-Edge Federated Continual Learning Framework in Mobile Edge Computing Systems,"Zhang, Guo, Sun, Liu, Yu",2024,10.1109/TMC.2022.3223944
Is the Next Winter Coming for AI? Elements of Making Secure and Robust AI,"Harguess, Ward",2022,10.1109/AIPR57179.2022.10092230
Computer Highlights Society Magazines,No authors,2022,10.1109/MC.2022.3201211
"ACA: Anonymous, Confidential and Auditable Transaction Systems for Blockchain","Lin, Huang, Ning, He",2023,10.1109/TDSC.2022.3228236
Service Placement for Real-Time Applications: Rate-Adaptation and Load-Balancing at the Network Edge,"Kassir, Veciana, Wang, Wang, Palacharla",2020,10.1109/CSCloud-EdgeCom49738.2020.00044
Industry Survey: The Magic Triangle of the New Normal,"Ebert, Montenbruck",2022,10.1109/MS.2022.3148928
A Functional Model and Analysis of Next Generation Malware Attacks and Defenses,"Pu, Wang, Kanemasa, Lima, Kimball, Zhang, Liu, Gu",2021,10.1109/TPSISA52974.2021.00023
IT Professional—Retrospectives and Perspectives,"Bojanova, Hurlburt",2022,10.1109/MITP.2022.3141846
A Periscopic IT Outlook,Murugesan,2022,10.1109/MITP.2022.3163616
BIG: Big Data Intelligence Governance Framework,Makhlouf,2022,10.1109/BigData55660.2022.10020244
"Air Free-Cooled Tropical Data Center: Design, Evaluation, and Learned Lessons","Le, Liu, Wang, Tan, Ngoh",2022,10.1109/TSUSC.2021.3132927
IEEE ICCI*CC Series in Year 20: Latest Advances in Cognitive Informatics and Cognitive Computing towards General AI (Plenary Panel Report-I),"Wang, Widrow, Pedrycz, Berwick, Soda, Kwong, Kaynak, Regazzoni, Chan, Gavrilova, Wang",2021,10.1109/ICCICC53683.2021.9811324
The Edge-to-Cloud Continuum,Milojicic,2020,10.1109/MC.2020.3007297
Towards a Roadmap on Software Engineering for Responsible AI,"Lu, Zhu, Xu, Whittle, Xing",2022,10.1145/3522664.3528607
A Conceptual Antifragile Microservice Framework for Reshaping Critical Infrastructures,"Bangui, Rossi, Buhnova",2022,10.1109/ICSME55016.2022.00040
Design of Power Communication Panoramic Interactive Anti-Accident Exercise System,"Geng, Hao, Liu, Gao, Lin, Sun",2022,10.1109/ICCSIE56462.2022.00018
"IT Professional—Accomplishments, Recognitions, and Plans",Bojanova,2021,10.1109/MITP.2020.3048454
A next-generation platform for Cyber Range-as-a-Service,Orbinato,2021,10.1109/ISSREW53611.2021.00094
When Digital Economy Meets Web3.0: Applications and Challenges,"Chen, Zhang, Li, Liao, Zhao, Zheng, Huang, Wu",2022,10.1109/OJCS.2022.3217565
Agile Systems Engineering,"Ebert, Kirschke-Biller",2021,10.1109/MS.2021.3071806
Research on The Development of Commercial Digital Economy Based on Information Driven,"Zhang, Zhang",2022,10.1109/CACML55074.2022.00123
Game-theory strategies for open-source Infrastructure-as-Code,"Ruiz, Nedeltcheva",2023,10.1109/ICSA-C57050.2023.00075
Quantum Deductive Simulation for Logic Functions,"Hahanov, Hacimahmud, Litvinova, Chumachenko, Hahanova",2018,10.1109/EWDTS.2018.8524619
Simulation System of Digital Media 3D Art Design Based on Artificial Intelligence,Zhao,2022,10.1109/AIoTCs58181.2022.00091
"Financial Crimes in Web3-Empowered Metaverse: Taxonomy, Countermeasures, and Opportunities","Wu, Lin, Lin, Zheng, Huang, Zheng",2023,10.1109/OJCS.2023.3245801
FastSlowMo: Federated Learning With Combined Worker and Aggregator Momenta,"Yang, Fu, Bao, Yuan, Zomaya",2023,10.1109/TAI.2022.3187678
Towards Sustainable Digital Transformation,"Gils, Weigand",2020,10.1109/CBI49978.2020.00019
Welcome Message from the General Chairs,No authors,2022,10.1109/ICME52920.2022.9859798
Southbound Message Delivery With Virtual Network Topology Awareness in Clouds,"Zhao, Luo, Xu, Chung, Xie",2023,10.1109/TNET.2022.3190730
